dataset,dimension,algorithm,n,successful_n,success_rate,success_wilson_low,success_wilson_high,metric,valid_n,mean,std,median,q1,q3
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,0.9360137080895947,0.04954346411181909,0.9282805765105878,0.9016271022264846,0.9663308475137455
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3891.534,71.05503839251601,3901.0,3848.0,3943.0
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,10786.658,293.2337926472674,10771.0,10593.0,10969.0
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9047694606141429,0.024375488093494817,0.909001517106107,0.8919965484599635,0.9224111093636749
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9047694606141429,0.024375488093494817,0.909001517106107,0.8919965484599635,0.9224111093636749
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,207.328,77.51305026847962,183.5,157.0,234.0
legacy_ablation,3,SC-RRT-no-ADCS,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_attempt,500,207.328,77.51305026847962,183.5,157.0,234.0
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_time_s,500,0.019036859619780393,0.005836944707456346,0.0172753694641869,0.015333527742768575,0.02085579925915225
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_nodes,500,155.222,36.29500476293512,145.0,131.0,167.0
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_cost_mm,500,2641.3799422417756,102.07592532418853,2622.020279091987,2566.24504254633,2695.6770389083244
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_solution_efficiency,500,0.8865142390866677,0.0329536975236069,0.8917812771247255,0.8674142369650107,0.9111634124852005
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,fixed_budget_cost_mm,500,2596.8907709389355,73.25601496713416,2581.1954625942067,2545.10243189003,2640.315079120011
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,fixed_budget_time_s,500,0.8377419485355495,0.04270513354123295,0.8308407479780726,0.8078733605070738,0.8624260475189658
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,total_nodes,500,3628.27,86.97921514784707,3633.0,3576.75,3686.25
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,collision_checks,500,9006.268,198.1751016597082,9005.0,8880.75,9144.25
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,fixed_budget_efficiency,500,0.9011081087323761,0.024792202330917813,0.9058859081723429,0.8856021078696752,0.9187326090796146
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,efficiency_all_runs,500,0.9011081087323761,0.024792202330917813,0.9058859081723429,0.8856021078696752,0.9187326090796146
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,first_attempt_capped,500,207.328,77.51305026847962,183.5,157.0,234.0
legacy_ablation,3,SC-RRT-no-SSFOR,500,500,1.0,0.9923756595384479,1.0,success,500,1.0,0.0,1.0,1.0,1.0
