dataset,dimension,reference,metric,environment_id,paired_n,reference_mean,sc_mean,reference_minus_sc,improvement_percent
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-05,50,0.09583108410239216,0.017540212499443392,0.07829087160294877,81.69673998396775
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-06,50,0.12007445278461087,0.017425804797094272,0.1026486479875166,85.48750013597595
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-07,50,0.3906333466013894,0.025379771540174206,0.36525357506121514,93.50291731082747
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-08,50,0.09991689593880433,0.018733417183393556,0.08118347875541078,81.25100163753373
main,3,Informed-RRT*,first_solution_time_s,evaluation-3d-09,50,0.09884360822266895,0.016505168119911054,0.0823384401027579,83.30173451101744
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-00,50,658.28,164.68,493.59999999999997,74.98328978550161
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-01,50,703.56,277.92,425.63999999999993,60.49803854681903
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-02,50,623.68,219.82,403.85999999999996,64.75436121087736
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-03,50,796.68,178.36,618.3199999999999,77.61209017422303
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-04,50,685.96,238.5,447.46000000000004,65.23120881684063
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-05,50,628.4,170.74,457.65999999999997,72.8294080203692
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-06,50,770.84,179.1,591.74,76.76560635151263
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-07,50,2027.64,290.64,1737.0,85.66609457300112
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-08,50,652.62,187.54,465.08000000000004,71.26352241733322
main,3,Informed-RRT*,first_attempt_capped,evaluation-3d-09,50,649.24,165.98,483.26,74.43472367691454
main,3,Informed-RRT*,total_nodes,evaluation-3d-00,50,4375.8,3578.82,796.98,18.213355272178802
main,3,Informed-RRT*,total_nodes,evaluation-3d-01,50,4126.0,3435.08,690.9200000000001,16.74551623848764
main,3,Informed-RRT*,total_nodes,evaluation-3d-02,50,4267.04,3529.96,737.0799999999999,17.273801042408788
main,3,Informed-RRT*,total_nodes,evaluation-3d-03,50,4252.12,3561.6,690.52,16.239428802573777
main,3,Informed-RRT*,total_nodes,evaluation-3d-04,50,4082.42,3447.78,634.6399999999999,15.545681238089168
main,3,Informed-RRT*,total_nodes,evaluation-3d-05,50,4298.88,3577.4,721.48,16.782976030966203
main,3,Informed-RRT*,total_nodes,evaluation-3d-06,50,4289.92,3552.98,736.94,17.178408921378487
main,3,Informed-RRT*,total_nodes,evaluation-3d-07,50,4205.42,3362.8,842.6199999999999,20.03652429483856
main,3,Informed-RRT*,total_nodes,evaluation-3d-08,50,4269.16,3551.68,717.48,16.806116425713725
main,3,Informed-RRT*,total_nodes,evaluation-3d-09,50,4420.82,3593.36,827.4599999999996,18.717342031568794
