epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,620.82,0.95483,0.00806,0.03192,0.50851,0.93976,0.99087,1,0.995,0.59016,0.99087,1,0.995,0.995,1.38666,0.00629,0.00032,0.55963,1.09293,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,635.284,0.94929,0.00855,0.0471,0.50227,0.9369,0.99509,1,0.995,0.64531,0.99509,1,0.995,0.995,1.34776,0.00602,0.00026,0.53196,1.07317,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,650.132,0.90416,0.0065,0.0252,0.48566,0.91968,0.99493,1,0.995,0.64019,0.99493,1,0.995,0.995,1.32866,0.0055,0.00027,0.53948,1.04406,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,664.612,0.88446,0.00698,0.03535,0.46705,0.92975,0.99505,1,0.995,0.58106,0.99505,1,0.995,0.995,1.47311,0.00744,0.00027,0.56381,1.09548,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,679.372,0.91084,0.00722,0.0278,0.4893,0.94675,0.99505,1,0.995,0.57206,0.99505,1,0.995,0.995,1.56446,0.00777,0.00037,0.54266,1.0829,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,693.761,0.91402,0.00743,0.0297,0.48831,0.92773,0.98879,1,0.995,0.57719,0.98879,1,0.995,0.995,1.56399,0.01007,0.00031,0.53537,1.15707,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,708.502,0.88292,0.00855,0.03267,0.47595,0.9209,0.9949,1,0.995,0.5586,0.9949,1,0.995,0.995,1.57267,0.00874,0.00014,0.53185,1.14044,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,722.962,0.88682,0.00761,0.03209,0.47012,0.9137,1,1,0.995,0.5965,1,1,0.995,0.995,1.36444,0.00632,0.00016,0.53789,1.08882,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,737.723,0.85276,0.00661,0.03615,0.46126,0.90556,0.99497,1,0.995,0.52455,0.99497,1,0.995,0.995,1.5813,0.00902,0.00016,0.57884,1.18721,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,752.169,0.85398,0.00698,0.04525,0.46993,0.8998,0.99299,1,0.995,0.62863,0.99299,1,0.995,0.995,1.40249,0.00692,0.00012,0.55035,1.13291,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
