environment_id,family,dimension,map_index,seed_index,seed,algorithm,checkpoint,best_cost_mm
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,3000,2052.6869418845163
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,4000,2012.2706645844478
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-ADCS,5000,1989.9521582207076
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,250,2221.1935412088474
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,500,2101.3134863039977
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,1000,2091.1238813810655
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,2000,2031.9103094715022
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,3000,2010.250869743132
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,4000,1986.6069587230786
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT-no-SSFOR,5000,1983.691769409392
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,250,2027.6194633426815
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,500,2025.6932371908483
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,1000,2018.5501051084614
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,2000,2013.4314627655565
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,3000,1997.2124657087477
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,4000,1993.095190789793
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-ADCS,5000,1993.095190789793
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,250,2027.5004786714458
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,500,2017.6442739823
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,1000,2006.443180913395
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,2000,1981.1167722000214
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,3000,1968.7657718893283
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,4000,1958.7262526247891
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT-no-SSFOR,5000,1952.4830006464242
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,250,2027.6194633426815
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,500,2025.6932371908483
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,1000,2018.5501051084614
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,2000,2013.4314627655565
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,3000,1998.709698569837
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,4000,1988.7085653805286
evaluation-2d-00,uniform_clutter,2,0,7,20000007,SC-RRT,5000,1960.9027346919775
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,250,2047.1643520488196
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,500,2045.030272100095
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,1000,2037.2773453997675
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,2000,2014.798435072344
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,3000,1999.27377410588
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,4000,1997.4202987631265
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-SSFOR,5000,1966.3162700798378
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,250,2034.1008157498063
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,500,2029.3696594393546
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,1000,2016.9607214124962
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,2000,2005.4478046121053
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,3000,2002.2356606676826
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,4000,1988.2360828340418
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT,5000,1979.025046852279
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-ADCS,250,2034.1008157498063
evaluation-2d-00,uniform_clutter,2,0,8,20000008,SC-RRT-no-ADCS,500,2029.3696594393546
