epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,584.643,0.81123,0.00939,0.01464,0.40983,0.85193,0.9944,1,0.995,0.79679,0.9944,1,0.995,0.995,0.85232,0.001,7e-05,0.32386,0.96587,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,601.297,0.78616,0.00825,0.01304,0.3916,0.84329,0.99433,1,0.995,0.77842,0.99433,1,0.995,0.995,0.95257,0.00133,0.00011,0.35196,0.99417,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,618.024,0.77012,0.00912,0.0195,0.39282,0.83801,0.99459,1,0.995,0.77329,0.99459,1,0.995,0.995,1.00718,0.00111,0.00011,0.36149,1.05104,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,635.169,0.74629,0.0053,0.01553,0.38182,0.83241,0.99463,1,0.995,0.78409,0.99463,1,0.995,0.995,0.87049,0.00107,0.00027,0.33934,0.98606,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,651.955,0.75831,0.00911,0.01026,0.39119,0.83248,0.98558,1,0.995,0.78562,0.98558,1,0.995,0.995,0.82206,0.00111,0.00027,0.3303,0.96264,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,668.698,0.75986,0.00889,0.01822,0.38435,0.85176,0.9946,1,0.995,0.74545,0.9946,1,0.995,0.995,0.91984,0.00062,0.00016,0.35378,0.99897,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,685.485,0.75261,0.00569,0.02137,0.37538,0.83698,0.99461,1,0.995,0.78919,0.99461,1,0.995,0.995,0.9235,0.00094,0.0003,0.37117,0.98872,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,702.71,0.74786,0.00569,0.01138,0.37318,0.83701,0.99466,1,0.995,0.80751,0.99466,1,0.995,0.995,0.93444,0.00096,0.00035,0.34288,1.01483,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,719.767,0.73733,0.00851,0.01549,0.36755,0.82476,1,1,0.995,0.76252,1,1,0.995,0.995,0.98862,0.00128,0.00022,0.3532,1.00648,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,736.47,0.71092,0.01014,0.01275,0.3587,0.82312,0.99466,1,0.995,0.7802,0.99466,1,0.995,0.995,0.85733,0.001,7e-05,0.31542,0.98704,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,753.11,0.69289,0.0039,0.01565,0.35915,0.82153,0.99477,1,0.995,0.75822,0.99477,1,0.995,0.995,0.94572,0.00086,0.00014,0.35703,1.02343,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,770.095,0.70005,0.00797,0.01536,0.36267,0.82511,0.99466,1,0.995,0.80234,0.99466,1,0.995,0.995,0.86853,0.00092,0.00012,0.33607,0.98272,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,786.408,0.68587,0.00664,0.00978,0.35184,0.82364,1,1,0.995,0.79632,1,1,0.995,0.995,0.93646,0.00097,7e-05,0.3272,0.99838,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,803.228,0.71662,0.01361,0.02242,0.38064,0.83461,0.99476,1,0.995,0.80044,0.99476,1,0.995,0.995,0.90671,0.00086,0.00018,0.35417,0.9663,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
