# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 14-Mar-2026 21:40:05

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.034±0.028,2320.66±122.18,0.034±0.028,269±171,0.470±0.037
RRT_Connect_Basic,100.0,0.009±0.004,2144.11±97.62,0.009±0.004,69±10,0.503±0.065
RRT_Star_Basic,100.0,0.115±0.102,1971.72±18.90,9.995±2.520,3850±104,0.288±0.083
Informed_RRT_Star_Basic,100.0,0.081±0.037,2315.86±104.12,0.306±0.081,3804±110,0.414±0.024
SC_RRT_Basic,100.0,0.020±0.013,2003.42±60.97,0.020±0.013,206±32,0.156±0.128
Dynamic_RRT_Basic,100.0,0.038±0.031,2281.84±125.50,0.038±0.031,293±157,0.462±0.035

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
Informed_RRT_Star_Basic,100,1,0.069,2327.30,0.262,3889,0.394
SC_RRT_Basic,101,1,0.010,1939.16,0.010,180,0.024
Dynamic_RRT_Basic,102,1,0.038,2252.84,0.038,331,0.486
RRT_Basic,103,1,0.022,2294.11,0.022,189,0.501
RRT_Connect_Basic,104,1,0.006,2174.81,0.006,67,0.586
RRT_Star_Basic,105,1,0.047,1999.36,9.091,3827,0.334
Informed_RRT_Star_Basic,106,1,0.102,2414.04,0.283,3653,0.464
SC_RRT_Basic,107,1,0.014,2043.15,0.014,170,0.346
Dynamic_RRT_Basic,108,1,0.030,2278.14,0.030,262,0.447
RRT_Basic,109,1,0.026,2348.41,0.026,276,0.426
RRT_Connect_Basic,110,1,0.009,2188.33,0.009,80,0.634
RRT_Star_Basic,111,1,0.061,1957.05,9.523,3962,0.337
Informed_RRT_Star_Basic,112,1,0.096,2384.92,0.275,3677,0.425
SC_RRT_Basic,113,1,0.014,1945.99,0.014,170,0.009
Dynamic_RRT_Basic,114,1,0.021,2214.66,0.021,178,0.503
RRT_Basic,115,1,0.061,2217.64,0.061,517,0.454
RRT_Connect_Basic,116,1,0.010,2165.51,0.010,71,0.535
RRT_Star_Basic,117,1,0.110,1991.82,8.418,3862,0.330
Informed_RRT_Star_Basic,118,1,0.149,2320.21,0.282,3712,0.435
SC_RRT_Basic,119,1,0.016,2015.67,0.016,209,0.294
Dynamic_RRT_Basic,120,1,0.042,2425.54,0.043,313,0.449
RRT_Basic,121,1,0.027,2411.51,0.027,185,0.483
RRT_Connect_Basic,122,1,0.010,2112.52,0.010,68,0.540
RRT_Star_Basic,123,1,0.078,2020.88,8.291,3661,0.360
Informed_RRT_Star_Basic,124,1,0.049,2260.74,0.281,3862,0.462
SC_RRT_Basic,125,1,0.015,2104.03,0.015,232,0.260
Dynamic_RRT_Basic,126,1,0.014,2061.92,0.014,161,0.444
RRT_Basic,127,1,0.019,2597.88,0.019,174,0.491
RRT_Connect_Basic,128,1,0.007,2223.73,0.007,63,0.519
RRT_Star_Basic,129,1,0.094,1974.86,8.417,3819,0.357
Informed_RRT_Star_Basic,130,1,0.078,2415.95,0.285,3883,0.409
SC_RRT_Basic,131,1,0.013,2089.29,0.013,213,0.034
Dynamic_RRT_Basic,132,1,0.022,2272.16,0.022,206,0.504
RRT_Basic,133,1,0.073,2523.19,0.073,655,0.454
RRT_Connect_Basic,134,1,0.008,1981.27,0.008,58,0.326
RRT_Star_Basic,135,1,0.064,1942.66,7.960,3855,0.143
Informed_RRT_Star_Basic,136,1,0.058,2356.98,0.302,3815,0.402
