scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,23,True,3446.845399240423,12.19792628288269,1000,1933,47.61306628913849,93.50611133951179,8.936080694198608,800.0,777.8172606745059,269,0.269,none,237999612134.503,0.24624624624624625,492,1998,0.25325325325325326,0.23923923923923923
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,24,True,3092.6204826974713,12.131795883178711,1000,1935,49.533006448280986,107.26276841930192,8.864357471466064,800.0,858.9413480465124,225,0.225,none,255108599748.23404,0.26576576576576577,531,1998,0.27427427427427425,0.25725725725725723
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,25,True,2778.0958156904235,12.192526578903198,1000,1921,48.213442858941505,114.76608883052373,8.959611415863037,800.0,834.7105356899588,239,0.239,none,243567136941.22305,0.2652652652652653,530,1998,0.26226226226226224,0.2682682682682683
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,26,True,3178.5685715371264,12.231399774551392,1000,1930,45.17499018398426,106.87344701250929,8.985367774963379,800.0,798.7379777678073,225,0.225,none,241215113108.38287,0.25575575575575576,511,1998,0.25225225225225223,0.25925925925925924
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,27,True,3229.7327648886207,12.174528121948242,1000,1932,42.99364351630353,96.5027184110747,8.935096979141235,800.0,842.5027205081595,248,0.248,none,240829159284.94763,0.2707707707707708,541,1998,0.28128128128128127,0.2602602602602603
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,28,True,3311.8793818713407,11.970824241638184,1000,1914,47.33312932380082,90.66027191104773,8.748770952224731,800.0,817.6417806579514,256,0.256,none,254329037780.70193,0.27177177177177175,543,1998,0.27427427427427425,0.26926926926926925
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,29,True,3454.7455980391196,12.06356692314148,1000,1931,50.12815960384042,85.42003154959559,8.79798436164856,800.0,854.2690628703194,233,0.233,none,257655903472.33188,0.2752752752752753,550,1998,0.2732732732732733,0.2772772772772773
三维高密度场景,3,1200,Kp_0.10,0.1,0.04,0.1,custom_pid,30,True,2812.9368651819264,11.996357202529907,1000,1908,42.07651597621933,108.49383570355559,8.782959938049316,800.0,800.8157363730495,231,0.231,none,237883211156.21136,0.24674674674674674,493,1998,0.23523523523523523,0.25825825825825827
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,1,True,4087.717412726622,11.976033210754395,1000,1920,48.56141470798225,101.6718551533153,8.74387812614441,800.0,786.3671008675395,225,0.225,none,233367810797.11334,0.25575575575575576,511,1998,0.25625625625625625,0.2552552552552553
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,2,True,2856.881143308535,12.179273128509521,1000,1935,58.05628257813413,102.78609672613487,8.903115272521973,800.0,838.8345225107815,229,0.229,none,242642637162.02615,0.2802802802802803,560,1998,0.28428428428428426,0.27627627627627627
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,3,True,3487.2744478055556,12.380412578582764,1000,1948,51.353775272691905,85.05018861356085,9.088467597961426,800.0,820.417605133413,215,0.215,none,249595422127.255,0.27877877877877877,557,1998,0.2732732732732733,0.28428428428428426
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,4,True,3771.3842351142193,12.089846134185791,1000,1923,52.742151192752196,93.02116403609232,8.847892045974731,800.0,808.5169014000552,267,0.267,none,245666127928.30634,0.2727727727727728,545,1998,0.2672672672672673,0.2782782782782783
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,5,True,4408.890293324659,12.057831048965454,1000,1919,44.09664875128919,107.9766121123134,8.805735111236572,800.0,763.2551850511632,263,0.263,none,240811065941.66043,0.26376376376376376,527,1998,0.25625625625625625,0.27127127127127126
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,6,True,3192.757223490423,12.33840298652649,1000,1944,50.484523613602526,105.35409355943833,9.053955078125,800.0,844.8517588841003,249,0.249,none,245936734934.7775,0.2602602602602603,520,1998,0.2672672672672673,0.25325325325325326
