scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,17,True,2386.2229356472753,1.0268323421478271,304,406,37.46220636477501,29.776262943092362,0.3196539878845215,104.0,472.82550156256184,53,0.17434210526315788,none,45714302.42410443,0.971947194719472,589,606,0.976897689768977,0.966996699669967
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,18,False,inf,1.9298889636993408,750,684,inf,0.0,inf,inf,622.5996052851576,150,0.2,oscillation,45410929.634122655,0.9933333333333333,1490,1500,0.9946666666666667,0.992
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,19,True,2355.09019382742,1.2923204898834229,383,519,33.81241364359438,27.970680830926803,0.6009562015533447,183.0,509.46967147434026,78,0.20365535248041775,none,45903945.796750695,0.9829842931937173,751,764,0.9842931937172775,0.981675392670157
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,20,True,2621.227613487543,1.4644932746887207,426,588,38.85539732643789,33.16855281968814,0.7529251575469971,226.0,537.2242140491892,75,0.176056338028169,none,46621843.77798163,0.9823529411764705,835,850,0.9764705882352941,0.9882352941176471
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,21,True,2291.195185712585,1.9713783264160156,570,779,43.205369720861505,31.461830333157458,1.230712652206421,370.0,530.2256416799783,112,0.19649122807017544,none,46373736.154174276,0.9912126537785588,1128,1138,0.9912126537785588,0.9912126537785588
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,22,False,inf,2.7900562286376953,750,1086,inf,0.0,inf,inf,527.334972199358,165,0.22,divergence,45399825.31180837,0.9886666666666667,1483,1500,0.992,0.9853333333333333
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,23,True,2246.0260065084176,0.8505153656005859,253,334,32.300588356557505,25.352083369221944,0.19480061531066895,53.0,442.12788173964293,46,0.18181818181818182,none,45803024.786252245,0.9702380952380952,489,504,0.9563492063492064,0.9841269841269841
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,24,True,2307.7055548711483,1.1992580890655518,351,484,34.63814553983795,32.20526841035185,0.5303614139556885,151.0,472.8143286227027,69,0.19658119658119658,none,45447787.71067259,0.9771428571428571,684,700,0.9771428571428571,0.9771428571428571
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,25,True,2745.9708736626458,2.4440507888793945,682,978,39.19359261884906,31.633765334081676,1.6616923809051514,482.0,549.82303559451,169,0.24780058651026393,none,45763362.39943796,0.9904552129221733,1349,1362,0.9911894273127754,0.9897209985315712
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,26,True,2583.904932592625,1.7539043426513672,540,717,36.805666596170134,28.769241196794326,1.0821022987365723,340.0,525.471383433388,99,0.18333333333333332,none,45545988.964785635,0.9842300556586271,1061,1078,0.9833024118738405,0.9851576994434137
