# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
SC_RRT_Basic,119,1,0.024,1966.93,0.024,178,0.031
Dynamic_RRT_Basic,120,1,0.017,2100.11,0.018,106,0.484
RRT_Basic,121,1,0.053,2511.05,0.053,470,0.508
RRT_Connect_Basic,122,1,0.006,2123.21,0.006,65,0.507
RRT_Star_Basic,123,1,0.071,1973.35,12.036,3872,0.349
Informed_RRT_Star_Basic,124,1,0.231,1971.19,1.900,3878,0.153
SC_RRT_Basic,125,1,0.036,1972.54,0.039,222,0.032
Dynamic_RRT_Basic,126,1,0.023,2388.57,0.024,232,0.487
RRT_Basic,127,1,0.024,2175.77,0.024,192,0.500
RRT_Connect_Basic,128,1,0.007,2063.33,0.007,59,0.435
RRT_Star_Basic,129,1,0.128,1980.56,11.757,3993,0.315
Informed_RRT_Star_Basic,130,1,0.149,2217.09,1.179,3698,0.239
SC_RRT_Basic,131,1,0.032,1925.57,0.033,175,0.015
Dynamic_RRT_Basic,132,1,0.036,2334.77,0.036,325,0.505
RRT_Basic,133,1,0.021,2188.95,0.021,186,0.466
RRT_Connect_Basic,134,1,0.007,2111.88,0.007,60,0.544
RRT_Star_Basic,135,1,0.056,1942.48,9.990,3847,0.129
Informed_RRT_Star_Basic,136,1,0.160,2085.97,1.659,3853,0.176
SC_RRT_Basic,137,1,0.078,1920.17,0.079,195,0.069
Dynamic_RRT_Basic,138,1,0.012,2176.47,0.013,128,0.451
RRT_Basic,139,1,0.023,2219.49,0.023,186,0.486
RRT_Connect_Basic,140,1,0.006,2166.10,0.006,60,0.606
RRT_Star_Basic,141,1,0.041,1954.75,11.193,3880,0.348
Informed_RRT_Star_Basic,142,1,0.096,1990.20,1.804,3811,0.168
SC_RRT_Basic,143,1,0.048,2068.02,0.048,195,0.093
Dynamic_RRT_Basic,144,1,0.033,2138.29,0.034,192,0.452
RRT_Basic,145,1,0.022,2272.91,0.022,208,0.500
RRT_Connect_Basic,146,1,0.006,2121.68,0.006,59,0.529
RRT_Star_Basic,147,1,0.088,1966.90,10.374,3964,0.311
Informed_RRT_Star_Basic,148,1,0.436,2058.37,1.474,3822,0.187
SC_RRT_Basic,149,1,0.020,1957.05,0.020,200,0.234
Dynamic_RRT_Basic,150,1,0.059,2252.84,0.059,414,0.434
RRT_Basic,151,1,0.030,2237.82,0.030,203,0.414
RRT_Connect_Basic,152,1,0.006,2035.16,0.006,58,0.442
RRT_Star_Basic,153,1,0.855,1956.08,10.181,3614,0.327
Informed_RRT_Star_Basic,154,1,0.205,1970.90,2.111,3852,0.112
SC_RRT_Basic,155,1,0.036,2099.39,0.036,194,0.299
Dynamic_RRT_Basic,156,1,0.110,2612.94,0.110,620,0.532
RRT_Basic,157,1,0.053,2297.10,0.053,222,0.452
RRT_Connect_Basic,158,1,0.024,2544.64,0.024,98,0.488
RRT_Star_Basic,159,1,0.062,1963.20,11.524,3828,0.158
Informed_RRT_Star_Basic,160,1,0.137,1958.85,2.098,3810,0.134
SC_RRT_Basic,161,1,0.037,2002.85,0.037,183,0.025
Dynamic_RRT_Basic,162,1,0.027,2405.58,0.027,180,0.489
RRT_Basic,163,1,0.035,2169.39,0.035,160,0.417
RRT_Connect_Basic,164,1,0.018,2060.82,0.018,64,0.449
RRT_Star_Basic,165,1,0.085,1961.26,12.495,3951,0.363
Informed_RRT_Star_Basic,166,1,0.074,1941.73,2.220,3984,0.126
SC_RRT_Basic,167,1,0.038,1957.94,0.038,193,0.208
Dynamic_RRT_Basic,168,1,0.030,2329.21,0.031,188,0.437
RRT_Basic,169,1,0.026,2234.80,0.027,176,0.495
RRT_Connect_Basic,170,1,0.014,2033.35,0.014,58,0.373
RRT_Star_Basic,171,1,0.070,1972.52,13.980,3943,0.305
Informed_RRT_Star_Basic,172,1,0.204,2041.35,1.749,3790,0.214
SC_RRT_Basic,173,1,0.036,1960.82,0.036,176,0.031
Dynamic_RRT_Basic,174,1,0.030,2463.00,0.030,267,0.470
RRT_Basic,175,1,0.017,2441.36,0.017,154,0.517
RRT_Connect_Basic,176,1,0.008,2112.87,0.008,67,0.494
RRT_Star_Basic,177,1,0.073,1964.12,11.109,3811,0.330
Informed_RRT_Star_Basic,178,1,0.112,2005.92,2.022,3927,0.256
SC_RRT_Basic,179,1,0.054,1934.81,0.054,178,0.130
Dynamic_RRT_Basic,180,1,0.152,2252.84,0.152,690,0.438
RRT_Basic,181,1,0.070,2328.28,0.070,243,0.491
RRT_Connect_Basic,182,1,0.017,2168.74,0.017,59,0.534
RRT_Star_Basic,183,1,0.044,1958.41,12.878,3883,0.204
Informed_RRT_Star_Basic,184,1,0.102,1935.16,1.865,3796,0.131
SC_RRT_Basic,185,1,0.037,1984.78,0.037,249,0.206
Dynamic_RRT_Basic,186,1,0.029,2367.39,0.029,206,0.483
RRT_Basic,187,1,0.026,2344.31,0.026,245,0.463
RRT_Connect_Basic,188,1,0.013,2262.08,0.013,73,0.526
RRT_Star_Basic,189,1,0.163,1971.97,12.287,3914,0.211
Informed_RRT_Star_Basic,190,1,0.081,1942.71,1.981,3919,0.139
SC_RRT_Basic,191,1,0.023,1967.43,0.024,176,0.239
Dynamic_RRT_Basic,192,1,0.033,2329.21,0.033,292,0.448
