environment_id,family,dimension,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,map_index,seed_index,pareto_start_index,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final
calibration-2d-02,slab_clutter,2,20020004,SC-RRT,1,5000,5000,3535,3537,16552,1009,9570,3628,325.0,0.024658128968439996,160.0,2160.9445295362843,0.8834971389170132,1.4238515589968301,2013.4044409084586,0.9482388487939575,1,2,4,,1.2961751696251056,1.2961751696251056,0.9420308234006288,0.9420308234006288,99,0.032492537589344554
calibration-2d-02,slab_clutter,2,20020004,RRT,1,5000,5000,3694,3695,4793,1083,0,0,815.0,0.04092422197572887,466.0,2283.668369724103,0.8360181953364504,0.32893332897219807,2283.668369724103,0.8360181953364504,1,2,4,,,,,,,
calibration-2d-02,slab_clutter,2,20020004,RRT-Connect,1,5000,5000,4066,4068,5000,934,0,0,315.0,0.015916664036922157,151.0,2429.4283233081674,0.7858590808737773,0.5562153109931387,2103.510361161788,0.9076201118159534,1,2,4,,,,,,,
calibration-2d-03,uniform_clutter,2,20030000,Informed-RRT*,1,5000,5000,3806,3807,38944,980,34123,4634,524.0,0.08122689701849595,379.0,2043.963383537583,0.9340618939559263,3.288748225022573,1941.7029498292525,0.983254575253937,1,3,0,,,,,,,
calibration-2d-03,uniform_clutter,2,20030000,Dynamic-RRT,1,5000,5000,3298,3299,4401,1084,0,0,504.0,0.12889239296782762,305.0,2503.7670195126243,0.7625263430362283,1.7014625239535235,2503.7670195126243,0.7625263430362283,1,3,0,306,,,,,,
calibration-2d-03,uniform_clutter,2,20030000,SC-RRT,1,5000,5000,3115,3117,14500,1355,8210,2785,890.0,0.07005403400398791,314.0,2099.9553412754312,0.9091566242756912,1.2869199760025367,1977.6378148525012,0.9653882499946391,1,3,0,,1.2879884800891435,1.2879884800891435,0.9478344249504717,0.9478344249504717,99,0.06261449300044337
calibration-2d-03,uniform_clutter,2,20030000,RRT,1,5000,5000,3719,3720,4795,1059,0,0,524.0,0.026889323024079204,379.0,2442.0404305727093,0.7818004506812911,0.3239550259895623,2442.0404305727093,0.7818004506812911,1,3,0,,,,,,,
calibration-2d-03,uniform_clutter,2,20030000,RRT-Connect,1,5000,5000,3949,3951,5000,1051,0,0,447.0,0.01998381898738444,144.0,2212.6155245930345,0.8628649161967868,0.5286278179846704,2212.6155245930345,0.8628649161967868,1,3,0,,,,,,,
calibration-2d-03,uniform_clutter,2,20030000,RRT*,1,5000,5000,3719,3720,26100,1059,21305,4784,524.0,0.0778586799860932,379.0,2043.963383537583,0.9340618939559263,1.7324249869561754,1950.8857953471238,0.9786263828242051,1,3,0,,,,,,,
calibration-2d-03,uniform_clutter,2,20030001,Dynamic-RRT,1,5000,5000,3245,3246,4422,1160,0,0,1067.0,0.28507505799643695,652.0,2445.950343444881,0.7805507230840892,1.669291605008766,2445.950343444881,0.7805507230840892,1,3,1,684,,,,,,
calibration-2d-03,uniform_clutter,2,20030001,SC-RRT,1,5000,5000,3302,3304,15774,1081,9312,3501,190.0,0.01626801397651434,105.0,2167.1961839641353,0.8809485377145132,1.4673075589817017,2007.8595964653,0.9508574765709087,1,3,1,,1.2815656283377994,1.2815656283377994,0.95,0.95,99,0.05429858108778618
calibration-2d-03,uniform_clutter,2,20030001,RRT,1,5000,5000,3707,3708,4821,1103,0,0,894.0,0.05221753002842888,634.0,2336.9668969979944,0.8169513704520893,0.36060055904090405,2336.9668969979944,0.8169513704520893,1,3,1,,,,,,,
calibration-2d-03,uniform_clutter,2,20030001,RRT-Connect,1,5000,5000,3706,3708,5000,1294,0,0,810.0,0.03773852001177147,245.0,2319.888491104902,0.822965550509879,0.5046296190121211,2172.048214663963,0.8789806305008973,1,3,1,,,,,,,
calibration-2d-03,uniform_clutter,2,20030001,RRT*,1,5000,5000,3707,3708,26321,1103,21500,5076,894.0,0.17806884000310674,634.0,1979.5131300777991,0.9644736779940647,1.6941978199756704,1949.8833894930976,0.9791294799941864,1,3,1,,,,,,,
calibration-2d-03,uniform_clutter,2,20030001,Informed-RRT*,1,5000,5000,3703,3704,39034,1075,34235,4714,894.0,0.1775701210135594,634.0,1979.5131300777991,0.9644736779940647,2.878730764030479,1941.5340669146283,0.9833401029308994,1,3,1,,,,,,,
calibration-2d-03,uniform_clutter,2,20030002,SC-RRT,1,5000,5000,3450,3452,16611,941,9921,4065,144.0,0.011216471961233765,93.0,2061.9976198693575,0.9258925862992214,1.2987884329631925,1979.4500463891188,0.9645044150956924,1,3,2,,1.308401107650566,1.308401107650566,0.9333549931418208,0.9333549931418208,99,0.028771792110240144
calibration-2d-03,uniform_clutter,2,20030002,RRT,1,5000,5000,3762,3763,4772,993,0,0,343.0,0.016799320001155138,219.0,2266.789294090569,0.8422433942937958,0.31017487501958385,2266.789294090569,0.8422433942937958,1,3,2,,,,,,,
calibration-2d-03,uniform_clutter,2,20030002,RRT-Connect,1,5000,5000,3759,3761,5000,1241,0,0,812.0,0.03533836099086329,241.0,2664.4264549512422,0.7165475728015978,0.47553258400876075,2431.1654086956805,0.7852975788381085,1,3,2,,,,,,,
calibration-2d-03,uniform_clutter,2,20030002,RRT*,1,5000,5000,3762,3763,26072,993,21300,4668,343.0,0.041418712004087865,219.0,1985.2684772304806,0.9616776426466325,1.6347352849552408,1950.5320968953934,0.9788038413940889,1,3,2,,,,,,,
calibration-2d-03,uniform_clutter,2,20030002,Informed-RRT*,1,5000,5000,3744,3745,45587,1008,40808,5280,343.0,0.04184944595908746,219.0,1985.2684772304806,0.9616776426466325,3.283064087969251,1940.850100630425,0.9836866374088022,1,3,2,,,,,,,
calibration-2d-03,uniform_clutter,2,20030002,Dynamic-RRT,1,5000,5000,3235,3236,4290,1038,0,0,412.0,0.0913128390093334,266.0,2388.6408090946966,0.7992781090963892,1.5253396179759875,2388.6408090946966,0.7992781090963892,1,3,2,1386,,,,,,
calibration-2d-03,uniform_clutter,2,20030003,RRT,1,5000,5000,3592,3593,4858,1249,0,0,1404.0,0.06754414300667122,904.0,2381.5607085235188,0.8016542691398809,0.2953242820221931,2381.5607085235188,0.8016542691398809,1,3,3,,,,,,,
calibration-2d-03,uniform_clutter,2,20030003,RRT-Connect,1,5000,5000,4088,4090,5000,912,0,0,246.0,0.011036469950340688,108.0,2113.7186486566256,0.9032367247254327,0.4915017429739237,2039.682030656012,0.9360225174850593,1,3,3,,,,,,,
